topology,D_m,L_m,spacing_D,H_kN,cycles,soil_k,eta_g,u_fem_anchor_mm,u_stress_mm,utilization,feasible,Vc_m3,Lt_m,Ac_m2,C_raw,C_norm,selected_candidate,candidate_id
2x2,0.60,18.0,4.0,100.0,100000,24800.593100,,4.829,14.733344,0.491111,yes,20.357520,72.000000,9.000000,27173.865908,27.173866,no,2x2_D0.60_L18_s4.0D
2x2,0.60,18.0,4.5,100.0,100000,24800.593100,,4.829,14.203528,0.473451,yes,20.357520,72.000000,10.890000,27353.415908,27.353416,no,2x2_D0.60_L18_s4.5D
2x2,0.60,20.0,2.5,100.0,100000,26364.246150,,4.829,17.456346,0.581878,yes,22.619467,80.000000,4.410000,29662.134343,29.662134,no,2x2_D0.60_L20_s2.5D
2x2,0.60,20.0,3.0,100.0,100000,26364.246150,,4.829,15.842089,0.528070,yes,22.619467,80.000000,5.760000,29790.384343,29.790384,no,2x2_D0.60_L20_s3.0D
2x2,0.60,20.0,3.5,100.0,100000,26364.246150,,4.829,14.790798,0.493027,yes,22.619467,80.000000,7.290000,29935.734343,29.935734,no,2x2_D0.60_L20_s3.5D
2x2,0.60,20.0,4.0,100.0,100000,26364.246150,,4.829,14.072990,0.469100,yes,22.619467,80.000000,9.000000,30098.184343,30.098184,no,2x2_D0.60_L20_s4.0D
2x2,0.60,20.0,4.5,100.0,100000,26364.246150,,4.829,13.566920,0.452231,yes,22.619467,80.000000,10.890000,30277.734343,30.277734,no,2x2_D0.60_L20_s4.5D
2x2,0.75,8.0,2.5,100.0,100000,15648.900359,,4.829,13.189610,0.439654,yes,14.137167,32.000000,6.890625,16321.599589,16.321600,no,2x2_D0.75_L8_s2.5D
2x2,0.75,8.0,3.0,100.0,100000,15648.900359,,4.829,11.969915,0.398997,yes,14.137167,32.000000,9.000000,16521.990214,16.521990,no,2x2_D0.75_L8_s3.0D
2x2,0.75,8.0,3.5,100.0,100000,15648.900359,,4.829,11.175584,0.372519,yes,14.137167,32.000000,11.390625,16749.099589,16.749100,no,2x2_D0.75_L8_s3.5D
2x2,0.75,8.0,4.0,100.0,100000,15648.900359,,4.829,10.633225,0.354441,yes,14.137167,32.000000,14.062500,17002.927714,17.002928,no,2x2_D0.75_L8_s4.0D
2x2,0.75,8.0,4.5,100.0,100000,15648.900359,,4.829,10.250850,0.341695,yes,14.137167,32.000000,17.015625,17283.474589,17.283475,no,2x2_D0.75_L8_s4.5D
2x2,0.75,10.0,2.5,100.0,100000,17370.730231,,4.829,16.153208,0.538440,yes,17.671459,40.000000,6.890625,20238.347143,20.238347,no,2x2_D0.75_L10_s2.5D
2x2,0.75,10.0,3.0,100.0,100000,17370.730231,,4.829,14.659457,0.488649,yes,17.671459,40.000000,9.000000,20438.737768,20.438738,no,2x2_D0.75_L10_s3.0D
2x2,0.75,10.0,3.5,100.0,100000,17370.730231,,4.829,13.686647,0.456222,yes,17.671459,40.000000,11.390625,20665.847143,20.665847,no,2x2_D0.75_L10_s3.5D
2x2,0.75,10.0,4.0,100.0,100000,17370.730231,,4.829,13.022423,0.434081,yes,17.671459,40.000000,14.062500,20919.675268,20.919675,no,2x2_D0.75_L10_s4.0D
2x2,0.75,10.0,4.5,100.0,100000,17370.730231,,4.829,12.554132,0.418471,yes,17.671459,40.000000,17.015625,21200.222143,21.200222,no,2x2_D0.75_L10_s4.5D
2x2,0.75,12.0,2.5,100.0,100000,19199.698429,,4.829,14.984820,0.499494,yes,21.205750,48.000000,6.890625,24155.094696,24.155095,no,2x2_D0.75_L12_s2.5D
2x2,0.75,12.0,3.0,100.0,100000,19199.698429,,4.829,13.599115,0.453304,yes,21.205750,48.000000,9.000000,24355.485321,24.355485,no,2x2_D0.75_L12_s3.0D
2x2,0.75,12.0,3.5,100.0,100000,19199.698429,,4.829,12.696669,0.423222,yes,21.205750,48.000000,11.390625,24582.594696,24.582595,no,2x2_D0.75_L12_s3.5D
2x2,0.75,12.0,4.0,100.0,100000,19199.698429,,4.829,12.080490,0.402683,yes,21.205750,48.000000,14.062500,24836.422821,24.836423,no,2x2_D0.75_L12_s4.0D
2x2,0.75,12.0,4.5,100.0,100000,19199.698429,,4.829,11.646071,0.388202,yes,21.205750,48.000000,17.015625,25116.969696,25.116970,no,2x2_D0.75_L12_s4.5D
2x2,0.75,14.0,2.5,100.0,100000,21224.958870,,4.829,13.899117,0.463304,yes,24.740042,56.000000,6.890625,28071.842250,28.071842,no,2x2_D0.75_L14_s2.5D
