model_name,solver_version,input_file,output_file,element_type,n_elements,n_nodes,load_total_kN,displacement_mean_mm,displacement_max_mm,ratio_to_screening_25p81,ratio_to_prediction_4p83,boundary_condition_summary,interface_summary,allowed_claim
CalculiX p-y beam-spring FEM,CalculiX 2.23.0,py_fem_model.inp,py_fem_model.dat,B31 beams + nonlinear SPRINGA springs,128,132,100.0,3.2194160000000003,3.2194160000000003,0.12471684194955605,0.6665457556935819,see README_calcix_checks.md,SPRINGA p-y springs,solver-level independent implementation of p-y idealization; not field validation
CalculiX 3D continuum static,CalculiX 2.23.0,continuum_static.inp,continuum_static.dat,C3D8 solid continuum,2048,2601,100.0,0.28626705555555554,0.2941927,0.011089689286220544,0.059268541522889344,see README_calcix_checks.md,bonded shared-node no-slip/no-gap pile-soil interface,stiff continuum lower-bound check; not full nonlinear soil-pile validation
CalculiX 3D continuum degraded,CalculiX 2.23.0,continuum_degraded.inp,continuum_degraded.dat,C3D8 solid continuum,2048,2601,100.0,0.40310544444444446,0.4128954,0.015615887478904038,0.0834586841499885,see README_calcix_checks.md,bonded shared-node no-slip/no-gap pile-soil interface,stiff continuum lower-bound check; not full nonlinear soil-pile validation
